profile,gender,birthday,favorites_anime,link
Darynlxm,Male,"Mar 31, 1986","['6547', '853', '849']",https://myanimelist.net/profile/Darynlxm
PokeFan2112,Male,"Oct 7, 2001","['527', '249', '1122', '1120', '1117', '1118', '528', '6811', '740', '530']",https://myanimelist.net/profile/PokeFan2112
Shaja,,,"['210', '300', '566', '1293']",https://myanimelist.net/profile/Shaja
kayori1928,Female,,"['136', '1575', '10087', '10620', '150']",https://myanimelist.net/profile/kayori1928
Marii-nyan,Female,"Apr 12, 1998","['5680', '7791', '10620', '22199', '6547', '10495', '6045', '4181']",https://myanimelist.net/profile/Marii-nyan
Falco2424,Male,"Jun 18, 1994","['32', '19', '145', '339', '820', '26', '1', '31757', '1575', '44']",https://myanimelist.net/profile/Falco2424
Dante012,Male,,"['2581', '4181', '2904']",https://myanimelist.net/profile/Dante012
Pixeldrum,,,[],https://myanimelist.net/profile/Pixeldrum
Crack-san,Male,"Nov 18, 1998","['1575', '23283', '16742', '10165', '9253', '7791', '14075', '9756', '12189', '6746']",https://myanimelist.net/profile/Crack-san
jmsxjrdn,Male,"Mar 10, 1987","['7674', '11061', '35062', '9253', '34561', '3167', '22535', '21', '28223', '35557']",https://myanimelist.net/profile/jmsxjrdn
dirtbum,Non-Binary,,"['10165', '35838', '38753', '227', '10162', '12355', '35968', '37450', '35839']",https://myanimelist.net/profile/dirtbum
DarkSoul218,,,[],https://myanimelist.net/profile/DarkSoul218
Otaku1985,Male,"Feb 8, 1985","['10165', '19', '5081', '9253', '12355', '323', '164', '820', '43', '1689']",https://myanimelist.net/profile/Otaku1985
FukaseKun,,May 14,"['31964', '38000', '20', '20583', '32182', '1735']",https://myanimelist.net/profile/FukaseKun
TK8878,Male,Sep 28,"['9756', '11741', '12189', '4224', '9253']",https://myanimelist.net/profile/TK8878
cappedea,Male,,"['5114', '849', '32281', '4181', '35839']",https://myanimelist.net/profile/cappedea
rondoblend,Male,,"['5114', '21', '516']",https://myanimelist.net/profile/rondoblend
Moebeetus,,"Jan 23, 1995","['7791', '16732', '14967', '16592', '530']",https://myanimelist.net/profile/Moebeetus
Pavuss,Female,"Mar 29, 1999",[],https://myanimelist.net/profile/Pavuss
PixlReality,Male,"Dec 19, 1998","['13601', '23273', '457', '16067', '9253', '7791', '31043', '18679', '7724', '4224']",https://myanimelist.net/profile/PixlReality
highofftap,Male,,"['1210', '28851', '9253', '934', '226', '22535', '2104', '31240', '634', '57']",https://myanimelist.net/profile/highofftap
nonameacquired,Male,"Mar 28, 2003","['32281', '32', '339', '30', '33489']",https://myanimelist.net/profile/nonameacquired
DanevsAnime,Male,"Sep 13, 1996","['21647', '9289', '6802', '2963', '855', '9756', '2013', '5680', '31376']",https://myanimelist.net/profile/DanevsAnime
Zeroark,Male,"Feb 14, 1989","['2476', '19369', '5909', '2167', '8861']",https://myanimelist.net/profile/Zeroark
tex33hunter,,,"['12413', '13331', '28907', '38680']",https://myanimelist.net/profile/tex33hunter
SkyeRwby,,,[],https://myanimelist.net/profile/SkyeRwby
_Ghastly_Grimm_,,,[],https://myanimelist.net/profile/_Ghastly_Grimm_
Rizkiawan-kun,Male,"Oct 26, 1999","['3297', '9253', '4181', '9969', '1889', '5114', '13125', '35180', '35839', '5420']",https://myanimelist.net/profile/Rizkiawan-kun
palmeister21,Male,"Jun 7, 1995","['12549', '2904', '1575']",https://myanimelist.net/profile/palmeister21
kuudere-ish,Female,Jan 8,"['23283', '7791', '13601', '16498']",https://myanimelist.net/profile/kuudere-ish
Ali_19,Male,"Jul 25, 1998","['4181', '1575', '18897', '1535', '21', '269', '23273', '16498', '23847', '31240']",https://myanimelist.net/profile/Ali_19
iEmnesty,Male,"Oct 14, 1997","['7791', '5341', '226', '9989', '5630']",https://myanimelist.net/profile/iEmnesty
Treima,Male,"Sep 19, 1989","['9756', '10087', '19815', '5114', '32281', '13601', '10165', '9253', '11061', '30']",https://myanimelist.net/profile/Treima
laigle-noir,Male,,"['10568', '120', '2966', '5680', '11887', '33352']",https://myanimelist.net/profile/laigle-noir
ShelbyWAO,Female,"Nov 28, 2000",['5680'],https://myanimelist.net/profile/ShelbyWAO
usaking,Male,"Mar 24, 1991","['7311', '4181', '3297', '339', '457', '1530', '199', '33352', '164', '10165', '26', '24', '578', '4981', '6547', '35838', '35180', '14741', '34599', '1887']",https://myanimelist.net/profile/usaking
firebug,Male,"Jul 12, 1982","['5680', '66']",https://myanimelist.net/profile/firebug
gunny1993,Male,"Apr 16, 1993","['6547', '5680']",https://myanimelist.net/profile/gunny1993
gayanime,Female,1996,"['1', '27989', '32182', '30', '232']",https://myanimelist.net/profile/gayanime
worldsend007,Female,"Jan 17, 1990","['1', '210', '249', '440', '6811']",https://myanimelist.net/profile/worldsend007
Bsum,Male,"May 4, 1998","['31043', '7791', '9253', '22535', '20', '16498']",https://myanimelist.net/profile/Bsum
dragafire,Male,"Oct 31, 1990","['21', '57', '205', '237', '267']",https://myanimelist.net/profile/dragafire
Monikon,Female,"Jul 20, 2003","['5958', '5680']",https://myanimelist.net/profile/Monikon
swc1098,Male,,"['477', '10087', '9253', '4181', '16498']",https://myanimelist.net/profile/swc1098
Howwl,Female,"Oct 31, 1996",[],https://myanimelist.net/profile/Howwl
DustPotato,Male,"Jan 11, 1994","['19815', '10456', '12487', '2904', '11757', '10568', '15039', '2167']",https://myanimelist.net/profile/DustPotato
Phoenix_Trite,Male,"Nov 17, 1996","['7791', '527', '18195', '14511', '23327', '2001', '5341', '30279', '1519', '28171']",https://myanimelist.net/profile/Phoenix_Trite
KomanoOhta,Male,"Apr 22, 1999","['14719', '5081', '9756', '2001', '1', '3002', '30', '9253', '227', '239']",https://myanimelist.net/profile/KomanoOhta
Zomino,Male,"Jul 1, 1996","['16894', '3297', '263', '16918', '9253']",https://myanimelist.net/profile/Zomino
CorrinPiy,,,[],https://myanimelist.net/profile/CorrinPiy
toloverufan,Male,,"['5667', '13663', '13851', '3455', '9181']",https://myanimelist.net/profile/toloverufan
EHeroReview,Male,"Apr 1, 1993",[],https://myanimelist.net/profile/EHeroReview
Fairytopia,,,"['3588', '101', '6746', '9989', '10408']",https://myanimelist.net/profile/Fairytopia
isumi-chan,Female,"Jul 29, 2001","['6702', '9756', '849', '6547', '21']",https://myanimelist.net/profile/isumi-chan
PoDH,Male,,"['8525', '2026', '13599', '9253', '6547']",https://myanimelist.net/profile/PoDH
arrays,Male,Jun 15,"['5114', '32281', '22535', '13601', '5081', '205', '28171', '23847', '7311', '4181']",https://myanimelist.net/profile/arrays
Battousai_027,Male,"Sep 27, 1990","['45', '21', '9969', '10030', '1735']",https://myanimelist.net/profile/Battousai_027
cigardah,Male,,"['30276', '28171', '918', '1', '20583', '5114', '392']",https://myanimelist.net/profile/cigardah
baellistA,Male,,"['19', '1535', '9253', '32281', '34542', '1575', '14075', '13601', '35247']",https://myanimelist.net/profile/baellistA
MillenniumA,,,[],https://myanimelist.net/profile/MillenniumA
Pikangie,,"Sep 8, 1989","['8339', '1060', '31762', '27727', '31174', '10161', '13601', '5060', '4898', '48']",https://myanimelist.net/profile/Pikangie
Waldy565,Male,"Jul 4, 1996","['2605', '16498', '1372', '1']",https://myanimelist.net/profile/Waldy565
Masternji,Male,Oct 11,"['32281', '34125', '28623', '5680', '30831', '13759', '4224']",https://myanimelist.net/profile/Masternji
simoku,Male,1994,"['7791', '30', '5081', '1210', '9756', '1251', '9253', '110', '145', '10495']",https://myanimelist.net/profile/simoku
chinodesuuu,Non-Binary,"Jan 22, 2000","['37991', '5680', '31988', '27989']",https://myanimelist.net/profile/chinodesuuu
HeavenBlade,Male,"Feb 27, 1994","['14813', '35247', '5114', '32281', '5680', '27989', '15051', '33352', '32', '9253']",https://myanimelist.net/profile/HeavenBlade
Knifilia,,,[],https://myanimelist.net/profile/Knifilia
Malthorian,Male,,"['967', '820', '2001', '918']",https://myanimelist.net/profile/Malthorian
Craftarc,,,[],https://myanimelist.net/profile/Craftarc
Pockers,,,"['13125', '34599']",https://myanimelist.net/profile/Pockers
FHero,Male,,"['5680', '9253', '31240', '20507']",https://myanimelist.net/profile/FHero
OwlsAreAirCats,,,"['28851', '4224', '9253', '10165']",https://myanimelist.net/profile/OwlsAreAirCats
MrMawrvel,,,"['22135', '523', '227', '11061', '47', '18679', '21', '164', '1', '5114']",https://myanimelist.net/profile/MrMawrvel
DeathWish249,Male,Dec 27,"['2001', '30', '9756', '12445', '13759']",https://myanimelist.net/profile/DeathWish249
BrigadeHamtaro,Male,,"['8557', '10378', '10588']",https://myanimelist.net/profile/BrigadeHamtaro
CurseDestiny,Male,"Mar 13, 1976","['4565', '120', '934', '5081', '18119', '31637']",https://myanimelist.net/profile/CurseDestiny
ShuuTsukTrash,Male,"Dec 30, 1999",[],https://myanimelist.net/profile/ShuuTsukTrash
ArchetypeEithe,Male,Jun 1,"['9041', '10719', '2167', '2966', '5680']",https://myanimelist.net/profile/ArchetypeEithe
yoshi64,,,"['6213', '7311', '4181', '73', '9289']",https://myanimelist.net/profile/yoshi64
Hejin,Male,"Dec 18, 1991","['31933', '20057', '11061', '27947', '95', '2001', '5507', '9253', '18679']",https://myanimelist.net/profile/Hejin
Ganz7,Male,,"['11061', '4181', '23847', '31240', '5680', '12189']",https://myanimelist.net/profile/Ganz7
AmiTomoko189,Female,Aug 21,"['934', '4898', '2167']",https://myanimelist.net/profile/AmiTomoko189
godofmankind,Male,"Nov 21, 2000","['7785', '43', '31758', '32', '437', '199', '9253', '227', '2904', '1535']",https://myanimelist.net/profile/godofmankind
Shinonono_Houki,Male,"Nov 2, 1987","['22199', '33489', '14741', '6547', '17549', '19221', '21085', '1470', '967', '6171']",https://myanimelist.net/profile/Shinonono_Houki
Far_Together,,,"['856', '66', '299', '48', '1', '26349']",https://myanimelist.net/profile/Far_Together
Lolsebca,Non-Binary,2001,"['9756', '39071', '36286', '31564', '37579', '19815', '30831', '31953', '33731', '33161']",https://myanimelist.net/profile/Lolsebca
InkSpider,Female,,"['437', '35842', '36214', '441', '16742', '43', '227', '339', '1210', '1']",https://myanimelist.net/profile/InkSpider
FrostyHippo,Male,"Jun 13, 1998","['5114', '9253', '627', '23755']",https://myanimelist.net/profile/FrostyHippo
Plucky-San,Male,"Oct 29, 1987","['66', '14741', '8129', '696', '1887', '5680', '6574', '488', '10495']",https://myanimelist.net/profile/Plucky-San
Ollleksa,Male,"May 9, 1993","['2001', '22297', '31043', '5680', '13601', '1210', '1', '467']",https://myanimelist.net/profile/Ollleksa
Scadger,,,"['23273', '10165', '7791', '9253', '25835']",https://myanimelist.net/profile/Scadger
scottpilgrim10,Male,"Jul 4, 1996","['9253', '4181', '35180', '28851', '37510', '32979', '31988', '572', '121', '19']",https://myanimelist.net/profile/scottpilgrim10
ComradeKane,Male,"May 27, 1998","['813', '5680', '2966']",https://myanimelist.net/profile/ComradeKane
dragonwarrior123,Female,"Dec 15, 1995","['8769', '5680', '10110', '16498', '20']",https://myanimelist.net/profile/dragonwarrior123
FenrirS,,,[],https://myanimelist.net/profile/FenrirS
Zogger568,Male,"Feb 19, 1995","['23289', '9617', '5680']",https://myanimelist.net/profile/Zogger568
gummyghost,Female,"Oct 24, 2000","['4087', '9756', '457', '20583']",https://myanimelist.net/profile/gummyghost
Taisho-san,Male,,"['34599', '10165', '5680', '17549', '2966', '16742', '10495', '33206']",https://myanimelist.net/profile/Taisho-san
omJIE,,,"['5680', '226', '1575', '6547', '8424']",https://myanimelist.net/profile/omJIE
ChanMidori,Female,,"['11759', '227']",https://myanimelist.net/profile/ChanMidori
shleepers,Female,"Mar 20, 1996",[],https://myanimelist.net/profile/shleepers
JayJ017,Male,,"['19815', '7791', '28171', '31240']",https://myanimelist.net/profile/JayJ017
MaikeruN-San,Male,,"['5680', '32281', '22297', '15809', '5114']",https://myanimelist.net/profile/MaikeruN-San
Theonewhorules,Female,"Aug 18, 2003","['30', '28851', '11061', '5081', '9989', '6746', '27989', '9253']",https://myanimelist.net/profile/Theonewhorules
Itadakiimasu,Female,"Jan 1, 1991","['263', '11061', '1698', '37430', '5114']",https://myanimelist.net/profile/Itadakiimasu
Xavveina,Male,"Apr 15, 1993","['6512', '10790', '11499', '4224', '1195', '3467', '38000']",https://myanimelist.net/profile/Xavveina
Katie-Everly,Female,"Jun 28, 1999","['2251', '199', '19815']",https://myanimelist.net/profile/Katie-Everly
ssdcgaddq,Male,Jan 1996,"['4181', '11741', '2924', '18245', '9756']",https://myanimelist.net/profile/ssdcgaddq
SimplyCosmo,Male,"Jun 12, 1997","['21', '32281', '13759', '23273', '28851', '9253', '12531', '4224', '6045', '5114']",https://myanimelist.net/profile/SimplyCosmo
asdfrq2dg,,,[],https://myanimelist.net/profile/asdfrq2dg
SoraKiryu,Female,"Jul 11, 1996","['5680', '9756', '1887', '3588', '2923']",https://myanimelist.net/profile/SoraKiryu
SolistraSora,,,[],https://myanimelist.net/profile/SolistraSora
bearvarine,Male,"Jun 30, 1979","['9919', '8769', '387', '9289', '31043']",https://myanimelist.net/profile/bearvarine
jaedencex,Non-Binary,"Jan 13, 2001","['7791', '232', '27989', '11061', '440', '23623', '2001', '205', '30', '9926']",https://myanimelist.net/profile/jaedencex
Glamrgrl104,Female,Nov 12,"['2076', '28171', '20899', '36028', '71', '14345']",https://myanimelist.net/profile/Glamrgrl104
XoXoXoXoXo,Male,"Nov 5, 1996","['17895', '11887', '9253', '7791', '7674']",https://myanimelist.net/profile/XoXoXoXoXo
ratchet573,Male,"Jul 21, 1994","['400', '801', '9253', '22297', '567']",https://myanimelist.net/profile/ratchet573
icurry,Female,"Sep 6, 2001","['5680', '1482', '31240', '9379', '28701', '10087', '14833', '5081', '23283']",https://myanimelist.net/profile/icurry
sachi_shimazu,,,"['5680', '6547', '9756', '15809', '9253']",https://myanimelist.net/profile/sachi_shimazu
plaide,,,['5680'],https://myanimelist.net/profile/plaide
guitarreaper254,Male,"Jul 3, 1992",[],https://myanimelist.net/profile/guitarreaper254
Kirbypower521,Male,"Dec 12, 1998","['5680', '14719', '30831', '33206', '30307', '8675', '21273']",https://myanimelist.net/profile/Kirbypower521
HermanoDigital,,,[],https://myanimelist.net/profile/HermanoDigital
